Nº;Entidad;APERTURA;Nº EXPTE.;JUZG.;JURISD;DIRECCION;LIQUIDADOR RESPONSABLE
78;Instituto Italo Argentino de Seguros Grales. S.A.;21/6/2000;52957/2000;Comercial N° 4, Secretaría N° 7;CABA;Av. Roque S. Peña 1211 1º Piso;Dra. María Cristina Ubbriaco
79;Jupiter Compañía Argentina de Seguros S.A:;2/12/1999;112135/99;Comercial N° 9, Secretaría 18;CABA;M.T. Alvear 1840 4º piso;Dra. Andrea Susana Rojas 
80;La Agricola Compañía de Seguros S.A.;7/9/1989;056029/94;Comercial N° 7, Secretaría N° 14;CABA;Av. Roque S. Peña 1211 2º Piso;Dra. María Cristina Ubbriaco
81;La Aseguradora Río de la Plata Compañía de seg. S.A.;15/7/1992;8623/1992;Comercial N° 16, Secretaría N° 31;CABA;M.T. Alvear 1840;Dra. María Cristina Ubbriaco
82;La Central del Plata S.A. de Seguros;17/10/1996;1191/96;1ª Inst.Civily Com.Dist.15ª Nom.;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
83;La Comercial de Rosario Cía de Seguros S.A.;2/9/1992;631/92;Civil y Comercial 10ma. Nominación;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
84;La Concordia Compañía Argentina de Seguros Generales S.A.;16/6/1994;050163/93;Comercial N° 19, Secretaría 37;CABA;M.T. Alvear 1840 2º PISO;Dr. Ezequiel Cará
85;La Confianza Compañía Argentina de Seguros S.A.;15/12/1999;64428/99;Comercial N° 17, Secretaría N° 33;CABA;M.T. Alvear 1840 3º piso;Dr. Luis Petrate Arguello
86;La Defensa Compañía Argentina de Seguros Generales S.A.;28/4/1994;14952/94;Comercial N° 16, Secretaría N° 32;CABA;Callao 635 E.P.;Dra. María Cristina Ubbriaco
87;La Fortuna S.A. Argentina de Seguros Generales S.A.;29/10/1997;064514/97;Comercial N° 6, Secretaría N° 12;CABA;Av. Roque S. Peña 1211 2º Piso;Dra. María Alejandra Spagnolo
88;La Gremial Económica Compañía Argentina de Seguros S.A.;25/11/1993;27060;N° 2 de Concursos;Mendoza;San Martin Nº 322, 3º piso-Oeste;Cont. Edgardo Gustavo Silva
89;La Hispano Argentina Compañía de Seguros S.A.;15/4/1997;15781/97;Comercial Nº 13, Secretaría N° 25;CABA;M.T. Alvear 1840 4º piso;Dr. Carlos Eduardo Sercovich
90;La Ibero Platense Cía. Argentina de Seguros;20/7/2001;052162/00;Comercial N° 9, Secretaría N° 17;CABA;M.T. Alvear 1840 4º piso;Cont. Héctor Jorge García
91;La Industrial Cooperativa de Seguros Limitada;26/2/1998;86692/97;Comercial N° 7, Secretaría N° 13;CABA;Av. Roque S. Peña 1211 2º Piso;Dr. Carlos Eduardo Sercovich
92;La Inmobiliaria Cía. Argentina de Seguros Generales S.A.;17/2/1986;094384/98;Comercial N° 9, Secretaría N° 17;CABA;M.T. Alvear 1840 4º piso;Dra. Verónica Ortíz Auger
93;La Nación Compañía Argentina de Seguros S.A.;3/6/1993;54878/92;Comercial N° 10, Secretaría N° 19;CABA;Callao 635 E.P.;Dra. María Cristina Ubbriaco
94;La Panamericana Cooperativa de Seguros Generales Limitada;9/8/1993;91278;Civil y Comercial N° 7;La Plata;Calle 13, entre 47 y 48;Dra. Claudia Marcela Pariente
95;La Previsión Cooperativa de Seguros Limitada;5/9/2000;17894;Civil y Comercial N° 1, Sec. N° 2;Tres Arroyos-Bs.As.;Brandsen Nº 562;Dr. Oscar Guillermo Carreras
96;La Previsión Seguros de Retiro Cooperativa Limitada;29/11/2000;18976;Civil y Comercial N° 1;Tres Arroyos-Bs.As.;Brandsen Nº 562;Dr. Oscar Guillermo Carreras
97;La Previsión VIDA Sociedad Anónima;19/12/2000;18026;Civil y Comercial N° 1;Tres Arroyos-Bs.As.;Brandsen Nº 562;Dr. Oscar Guillermo Carreras
98;La Primera Compañía Argentina de Seguros Generales S.A.;28/2/1992;25588;Civil y Comercial N° 1;T. Lauquen-Bs. As.;9 de julio Nº 54;Cont. Edgardo Gustavo Silva
99;La Rectora Compañía Argentina de Seguros S.A.;27/2/1998;079613/95;Comercial N° 1, Secretaría N° 1;CABA;Av. Roque S. Peña 1211 5º piso;Cont. Edgardo Gustavo Silva
100;La Regional Compañía Argentina de seguros S.A.;8/3/1995;62986/95;Civil y Comercial 6ta Nominación;Salta;Peteribies 635, Tres cerritos;Cont. Héctor Jorge García
101;La Rural Sociedad Anónima de Seguros;16/10/1987;046014/93;Comercial N° 2, Secretaría N° 4;CABA;M.T. Alvear 1840 3º piso;Cont. Héctor Jorge García
102;La Unión Agrícola Cooperativa de seguros Limitada;22/5/1998;87661;Civil y Comercial N° 6, Secretaría 4;Bahía Blanca-Pcia. de Bs. As.;Estomba Nº 34, 2º piso;Dr. Oscar Guillermo Carreras
103;La Uruguaya Argentina Compañía de Seguros S.A.;11/6/2002;104229/01;Comercial N° 22, Sec. N° 44;CABA;M.T. Alvear 1840 3º PISO;Dr. Ezequiel Cará
104;Lefa Cooperativa de Seguros Limitada;9/4/1991;53640;Comercial N° 12, Secretaría N° 24;CABA;M.T. Alvear 1840 2º Piso;Dr. Oscar Guillermo Carreras
105;Libertad Compañía Argentina de Seguros S.A.;30/9/1997;85247/96;Comercial N° 13, Secretaría N° 26;CABA;M.T. Alvear 1840 4º piso;Dr. Oscar Guillermo Carreras
106;Londres y Río de la Plata Cía. Argentina de Seguros S.A.;15/4/1998;10188/98;Comercial N° 1, Secretaría N° 2;CABA;Av. Roque S. Peña 1211 5º piso;Dr. Oscar Guillermo Carreras
107;Mar y Tierra Compañía de Seguros S.A.;25/11/1985;2703/14;Comercial N° 8, Secretaría N° 16;CABA;Av. Roque S. Peña 1211 7º PISO;Dra. Andrea Susana Rojas 
108;Mayo Compañía Argentina de Seguros S.A.;13/4/1984;53884/05;Comercial N° 7, Secretaría N° 14;CABA;Av. Roque S. Peña 1211 2º Piso;Dr. Luis Petrate Arguello
109;Mercosur Compañía Americana de Seguros S.A.;23/8/2000;101684/99;Comercial N° 22, Secretaría N° 44;CABA;M.T. Alvear 1840 3º PISO;Dra. Claudia Marcela Pariente
110;Neptunia Compañía Argentina de Seguros S.A.;17/11/1986;53006/86;Comercial N° 4, Secretaría N° 8;CABA;Av. Roque S. Peña 1211 1º Piso;Dr. Luis Petrate Arguello
111;Numancia Seguros en General S.A.;2/3/1999;051429/98;Comercial N° 16, Secretaría N° 32;CABA;Callao 635 E.P.;Cont. Héctor Jorge García
112;Occidente Sociedad Anónima de Seguros;30/11/1989;6188/94;Comercial N° 18, Secretaría N° 35;CABA;M.T. Alvear 1840 3º PISO;Dr. Luis Petrate Arguello
113;Olam Cooperativa de Seguros Limitada;20/10/1998;75232/98;Comercial N° 15, Secretaría N° 29;CABA;Callao 635 3º;Cont. Orlando Marcelo Suarez
114;Olimpia Compañía Argentina de Seguros S.A.;20/12/1985;16047508/85;Comercial N° 8, Secretaría N° 16;CABA;Av. Roque S. Peña 1211 7º PISO;Dra. Andrea Susana Rojas 
115;Ombú Compañía Argentina de Seguros S.A.;19/10/1990;85559/95;Comercial N° 19, Secretaría N° 38;CABA;M.T. Alvear 1840 2º piso;Dr. Luis Petrate Arguello
116;Omega Cooperativa de Seguros Limitada;26/4/2001;33922/2001;Comercial N° 1, Secretaría N° 2;CABA;Av. Roque S. Peña 1211 5º piso;Dra. Gabriela Inés Trapaglia
117;Omega S.A.;6/7/2001;20067/01;Comercial N° 1, Secretaría N° 2;CABA;Av. Roque S. Peña 1211 5º piso;Dra. Gabriela Inés Trapaglia
118;Patria Compañía de Seguros S.A.;3/9/1986;002050/93;Comercial N° 10, Secretaría N° 19;CABA;Callao 635 E.P.;Dra. Claudia Marcela Pariente
119;Pergamino Cooperativa de Seguros Limitada;13/6/1997;20498;Civil y Comercial N° 3;Pergamino-Bs. As.;Pinto Nº 1251 Intersección: Colón y Monteagudo;Dr. Domingo Gómez Bisgarra
120;Previsión del Hogar Sociedad Cooperativa de Seguros Ltda.;11/10/1988;5770/93;Comercial N° 25, Secretaría N° 49;CABA;Callao 635 4º piso;Dra. Gabriela Inés Trapaglia
121;Previsión y Ayuda Mutua Sociedad Cooperativa de Seguros Limitada;2/11/1994;;Civil y Comercial 13 nominacion;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
122;Reliance National Compañía Argentina de Seguros S.A.;30/11/2001;111591/01;Comercial N° 15, Secretaría N° 29;CABA;Callao 635 3º;Cont. Héctor Jorge García
123;Resguardo Compañía Argentina de Seguros S.A.;16/11/1995;019423/93;Comercial N° 24, Secretaría N° 48;CABA;M.T. Alvear 1840 2º Piso;Dra. María Cristina Ubbriaco
124;Río de la Plata compañía de Seguros;10/4/2000;120151/99;Comercial N° 4, Secretaría N° 8;CABA;Av. Roque S. Peña 1211 1º Piso;Dr. Oscar Guillermo Carreras
125;Ruta Cooperativa Argentina de Seguros;14/2/1990;23250/92;Comercial N° 4, Secretaría N° 7;CABA;Av. Roque S. Peña 1211 1º Piso;Cont. Roberto Falvo
126;San Juan Cooperativa de Seguros Limitada;29/5/1997;2452;Civil, Comercial y Especial N° 1;San Juan;Rivadavia 473 -este- 1° Piso Ala Sur;Dra. María Cristina Ubbriaco
127;San Lorenzo Compañía de Seguros S.A.;23/6/1994;025249/94;Comercial N° 23, Secretaría N° 45;CABA;M.T. Alvear 1840 2º Piso;Cont. Héctor Jorge García
128;Satélite Compañía Argentina de Seguros S.A.;4/11/1983;78245/99;Comercial N° 25, Secretaría N° 50;CABA;Callao 635 4º piso;Dr. Luis Petrate Arguello
129;Seguridad Cooperativa de Seguros Limitada;11/7/2002;78934/1999;Comercial N° 26, Secretaría N° 52;CABA;Callao 635 1º Piso;Dra. María Cristina Ubbriaco
130;Sociedad Anónima Pampa Compañía de Seguros;4/10/1990;753/90;Civil y Comercial 2 Nominación;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
131;Sociedad Cooperativa de Seguros Limitada La Única;26/3/1992;503712/36;Civil y Com. 7 Nom., N° 4, Sec. 13;Córdoba;Caseros 551. PB. Pasillo central.;Dra. Alicia Nilda Sturla
132;Sociedad Rural de Cerealistas Cía. Argentina de Seg. S.A.;26/2/1997;1428/96;Civil y Comercial 8va. nominación;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
133;Sudatlantica Compañía de Seguros S.A.;7/3/1994;46210/93;Comercial N° 22, Secretaría N° 44;CABA;M.T. Alvear 1840 3º PISO;Dra. Claudia Marcela Pariente
134;Sursum Cooperativa Argentina de Seguros;28/5/1987;35226/93;Comercial N° 15, Secretaría N° 29;CABA;Callao 635 3º;Dr. Luis Petrate Arguello
135;Suizo Argentina Cia. de Seg. S.A.;12/2/2003;112954/02;Comercial N° 25, Secretaría N° 50;CABA;Callao 635 4º piso;Cont. Héctor Jorge García
136;Touring Cooperativa de Seguros Limitada;20/10/2000;97072/00;Comercial N° 7, Secretaría N° 14;CABA;Av. Roque S. Peña 1211 2º Piso;Dr. Carlos Eduardo Sercovich
137;Transportadores Unidos Cooperativa Limitada de Seguros;8/11/1990;012494/90;Comercial N° 20, Secretaría N° 39;CABA;M.T. Alvear 1840 4º PISO;Dr. Ezequiel Cará
138;Tutora Compañía Sudamericana de Seguros S.A.;18/4/1984;27901/92;Comercial N° 5, Secretaría N° 9;CABA;Av. Roque S. Peña 1211 8º Piso;Dr. Domingo Gómez Bisgarra
139;Union Cañeros Cooperativa de Seguros Limitada;27/9/1987;1408/87;Civil y Comercial 3ra. nominación;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
140;Union Panaderil Cooperativa de Seguros Limitada;3/3/1999;99346/98;Comercial N° 3, Secretaría N° 5;CABA;Callao 635 6º PISO;Dr. Carlos Eduardo Sercovich
141;Utma Cooperativa de Seguros Limitada;20/10/1994;46160/93;Comercial N° 26, Secretaría N° 52;CABA;Callao 635 1º Piso;Dr. Carlos Eduardo Sercovich
142;Vigor Cooperativa de Seguros Generales Limitada;24/1/1994;001/94;Civil y Comercial de la 2a Nominación;Venado Tuerto-Santa Fe;Saavedra 455;Dr. Oscar Guillermo Carreras
143;Visión Compañía Argentina de Seguros S.A.;8/5/2001;234/01;Comercial N° 26, Secretaría N° 52;CABA;Callao 635 1º Piso;Dra. Gabriela Inés Trapaglia
144;Fata Seguros SA;29/10/2004;1276/04;Civil y Comercial 13 Nominación;Rosario-Santa Fe;Balcarce 1651;Dra. Gabriela Inés Trapaglia
145;Columbia SA de Seguros;24/6/2005;030599/02;Comercial N° 9, Secretaría N° 17;CABA;M.T. Alvear 1840 4º piso;Dra. María Mendía
146;Lua Seguros La Porteña SA;12/4/2006;16692/06;Comercial N° 2, Secretaría N° 4;CABA;M.T. Alvear 1840 3º piso;Dr. Ezequiel Cará
147;Responsabilidad Patronal Aseguradora de Riesgos del Trabajo S.A.;29/3/2007;10520;Civil y Comercial N° 4;La Matanza - Pcia. de Bs.As.;Entre Rios 2929, 1º-2º;Dra. Alicia Nilda Sturla
148;Luz ART;5/5/2008;14460/08;Comercial 23, Secretaría 45;CABA;M.T. Alvear 1840 2º Piso;Cont. Roberto Falvo
149;Protección Buenos Aires Sociedad Anónima Compañía de Seguros;17/4/2009;09472/09;Comercial 16, Secretaría 32;CABA;Callao 635 E.P.;Dra. María Cristina Ubbriaco
150;La Economía Comercial Sociedad Anónima de Seguros Generales;16/8/2016;66218/09;Comercial 13, Secretaría 26;CABA;M.T. Alvear 1840 4º piso;Cont. Héctor Jorge García
151;Trainmet Seguros S.A.;6/2/2013;30596/12;Comercial 18, Secretaría 35;CABA;M.T. Alvear 1840 3º PISO;Dres. María Mendía y Martín Riera
152;Oversafe Seguros de Retiro S.A.;2/9/2013;20483/13;Comercial Nº 9, Secretaría 18;CABA;M.T. Alvear 1840 4º piso;Dra. Alicia Nilda Sturla
153;Profuturo Compañía de Seguros de Retiro;2/10/2014;27326/14;Comercial 17, Secretaría 33;CABA;M.T. Alvear 1840 3º piso;Dra. Gabriela Inés Trapaglia
154;Unidos Seguros de Retiro S.A.;16/9/2014;733/14;Juzg. 1º Dist. De la 4ª Nom.;Rafaela - Santa Fe;Balcarce 1651;Cont. Edgardo Gustavo Silva
155;Aseguradora de Riesgo de Trabajo Interacción S.A.;29/8/2016;17720/16;Comercial 8, Secretaría 16;CABA;Av. Roque S. Peña 1211 7º PISO;Dr. Domingo Gómez Bisgarra
156;Aseguradora federal Argentina S.A.;5/1/2017;28796/2016;Comercial 14, Secretaria 27;CABA;Callao 635 2º Piso;Dres. María Mendía y Martín Riera
157;ART Liderar S.A.;7/10/2019;24528/2019;Comercial 31, Secretaría 61;Juzgado es Montevideo 546, piso 7º;CABA;Dras. Andrea Rojas y Claudia Pariente
;;;;;;;
